Plan Or Actual,Region,STP,ISP_Site,Activity_Type_1,Activity_Type_2,Activity_Type_3,POD,Specialty_(TFC),Diagnostic_Modality,How_will_this_activity_be_delivered?,Please_provide_details_of_your_plan_for_service_delivery ,Further_Detail,NHS_Referring_Trust,Week Commencing Date,Activity Count,Postcode,Lat,Lon,Week Index
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Complex,Elective,120: Ent,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,5,SM3 9DW,51.37946,-0.221,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Complex,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,4,SM3 9DW,51.37946,-0.221,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Urgent,Cancer,Routine,Diagnostics,301: Gastroenterology,COMPUTERISED TOMOGRAPHY (CT),Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,10,SM3 9DW,51.37946,-0.221,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,St Anthony's (Spire Healthcare),Unknown,Unknown,Routine,Diagnostics,Oth: Other,ENDOSCOPY,Service will be staffed by NHS medical staff,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,2,SM3 9DW,51.37946,-0.221,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Routine,Non-Cancer,Routine,Diagnostics,Oth: Other,COMPUTERISED TOMOGRAPHY (CT),,,,KINGSTON HOSPITAL NHS FOUNDATION TRUST,02/11/2020,28,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Non-Cancer,Routine,Daycase,110: Trauma & orthopaedics,,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,12,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Non-Cancer,Routine,Daycase,160: Plastic surgery,,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,7,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Non-Cancer,Routine,Daycase,100: General Surgery,,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,10,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Routine,Non-Cancer,Routine,Diagnostics,Oth: Other,COMPUTERISED TOMOGRAPHY (CT),,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,7,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Unknown,Routine,Diagnostics,Oth: Other,ENDOSCOPY,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,21,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Urgent,Unknown,Routine,Elective,Unk: Unknown,,,,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,4,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Unknown,Unknown,Routine,Daycase,Unk: Unknown,,,,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,02/11/2020,1,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Routine,Non-Cancer,Routine,Daycase,361: Nephrology,,,as per previously submitted plan,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,5,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Routine,Non-Cancer,Routine,Daycase,361: Nephrology,,,as per previously submitted plan,,EPSOM & ST. HELIER UNIVERSITY HOSPITAL NHS TRUST,02/11/2020,0,SW19 5NX,51.43576,-0.22358,13
Plan,London,South_West_London_Health_and_Care_Partnership_STP,Parkside (Aspen Healthcare),Routine,Non-Cancer,Routine,Elective,102: Transplantation surgery,,,as per previously submitted plan,,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,02/11/2020,0,SW19 5NX,51.43576,-0.22358,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Cavell (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,110: Trauma & orthopaedics,,Service will be staffed by NHS medical staff,Buddy relationship established,,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,02/11/2020,35,EN2 7PR,51.6592,-0.10136,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Cavell (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,110: Trauma & orthopaedics,,Service will be staffed by NHS medical staff,Buddy relationship established,,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,02/11/2020,8,EN2 7PR,51.6592,-0.10136,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Cavell (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,320: Cardiology,ECHO,Service will be wholly staffed by independent sector staff,Buddy relationship established,,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,02/11/2020,20,EN2 7PR,51.6592,-0.10136,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Cavell (BMI Healthcare),Routine,Cancer,Routine,Diagnostics,301: Gastroenterology,ENDOSCOPY - LOWER GI,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,02/11/2020,20,EN2 7PR,51.6592,-0.10136,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Kings Oak (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,160: Plastic surgery,,Service will be staffed by NHS medical staff,Buddy relationship established,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,20,EN2 8SD,51.66794,-0.10557,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Kings Oak (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,320: Cardiology,ECHO,Service will be wholly staffed by independent sector staff,Buddy relationship established,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,20,EN2 8SD,51.66794,-0.10557,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Highgate Private (Aspen Healthcare),Routine,Non-Cancer,Routine,Elective,100: General surgery,,Service will be staffed by NHS medical staff,NCL lead provider arrangements,Being established as part of the high volume elective centres initiative,THE WHITTINGTON HOSPITAL NHS TRUST,02/11/2020,50,N6 4DJ,51.57717,-0.15589,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Highgate Private (Aspen Healthcare),Routine,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be wholly staffed by independent sector staff,Buddy relationship established,"As set out in the approved requests, this is for a range of modalities",THE WHITTINGTON HOSPITAL NHS TRUST,02/11/2020,50,N6 4DJ,51.57717,-0.15589,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Highgate Private (Aspen Healthcare),Routine,Cancer,Complex,Diagnostics,301: Gastroenterology,ENDOSCOPY - LOWER GI,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,THE WHITTINGTON HOSPITAL NHS TRUST,02/11/2020,55,N6 4DJ,51.57717,-0.15589,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Schoen Clinic London (Schoen Clinic UK),Routine,Non-Cancer,Complex,Elective,110: Trauma & orthopaedics,,Service will be staffed by NHS medical staff,Buddy relationship established,,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,30,W1U 2SB,51.51658,-0.15001,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Non-Cancer,Complex,Elective,100: General surgery,,Service will be staffed by NHS medical staff,,Bariatrics,THE WHITTINGTON HOSPITAL NHS TRUST,02/11/2020,4,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,320: Cardiology,ECHO,Service will be wholly staffed by independent sector staff,,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,20,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Non-Cancer,Routine,Daycase,140: Oral surgery,,Service will be staffed by NHS medical staff,,,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,10,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Cancer,Complex,Elective,101: Urology,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),UCLH,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,5,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Cancer,Complex,Elective,106: Upper gastrointestinal surgery,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),UCLH,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,10,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Cancer,Complex,Elective,103: Breast surgery,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),"UCLH, RFL, North Midd, Whitt (Access to Nuclear Med)",UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,25,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Non-Cancer,Routine,Elective,106: Upper gastrointestinal surgery,,Service will be staffed by NHS medical staff,,,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,3,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Cancer,Complex,Diagnostics,503: Gynaecological oncology,,Service will be wholly staffed by independent sector staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,15,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Cancer,Complex,Diagnostics,103: Breast surgery,,Service will be wholly staffed by independent sector staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,10,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Cancer,Complex,Diagnostics,330: Dermatology,,Service will be wholly staffed by independent sector staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,80,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Cancer,Routine,Diagnostics,301: Gastroenterology,ENDOSCOPY - LOWER GI,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,55,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Cancer,Complex,Elective,101: Urology,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),UCLH (Access to a Da Vinci),UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,10,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Cancer,Complex,Elective,104: Colorectal surgery,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),"RFL (Barnet), UCLH, North Midd, Whitt",ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,25,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Cancer,Complex,Elective,145: Oral & maxillo facial surgery,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),UCLH,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,10,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Cancer,Complex,Elective,120: Ent,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),UCLH,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,15,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Cancer,Complex,Elective,105: Hepatobiliary & pancreatic surgery,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),Royal Free London,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,10,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Non-Cancer,Complex,Elective,104: Colorectal surgery,,Service will be staffed by NHS medical staff,,,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,3,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Cancer,Complex,Diagnostics,120: Ent,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,2,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Cancer,Routine,Diagnostics,104: Colorectal surgery,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,1,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Princess Grace (HCA UK),Routine,Cancer,Complex,Diagnostics,105: Hepatobiliary & pancreatic surgery,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,1,W1U 5NY,51.52234,-0.15293,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,320: Cardiology,ECHO,Service will be wholly staffed by independent sector staff,,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,20,W1G 8BJ,51.52036,-0.14819,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Routine,Diagnostics,341: Respiratory physiology,,Service will be wholly staffed by independent sector staff,,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,10,W1G 8BJ,51.52036,-0.14819,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Complex,Diagnostics,173: Thoracic surgery,,Service will be wholly staffed by independent sector staff,,,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,4,W1G 8BJ,51.52036,-0.14819,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Harley Street Clinic (HCA UK),Routine,Cancer,Complex,Diagnostics,173: Thoracic surgery,,Service will be wholly staffed by independent sector staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,3,W1G 8BJ,51.52036,-0.14819,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The London Clinic (The London Clinic),Routine,Non-Cancer,Complex,Elective,107: Vascular surgery,,Service will be staffed by NHS medical staff,NCL network,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,6,W1G 6BW,51.52302,-0.15008,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The London Clinic (The London Clinic),Routine,Non-Cancer,Complex,Elective,102: Transplantation surgery,,Service will be staffed by NHS medical staff,NCL network,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,8,W1G 6BW,51.52302,-0.15008,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The London Clinic (The London Clinic),Routine,Cancer,Routine,Diagnostics,301: Gastroenterology,ENDOSCOPY - LOWER GI,Service will be wholly staffed by independent sector staff,Part of the NCL Cancer Hub programme (hosted by UCLH),,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,100,W1G 6BW,51.52302,-0.15008,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The London Clinic (The London Clinic),Routine,Non-Cancer,Routine,Daycase,120: Ent,,Service will be staffed by NHS medical staff,,,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,30,W1G 6BW,51.52302,-0.15008,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The London Clinic (The London Clinic),Routine,Cancer,Complex,Elective,101: Urology,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),UCLH,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,6,W1G 6BW,51.52302,-0.15008,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The London Clinic (The London Clinic),Routine,Non-Cancer,Routine,Elective,120: Ent,,Service will be staffed by NHS medical staff,,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,4,W1G 6BW,51.52302,-0.15008,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Non-Cancer,Complex,Elective,320: Cardiology,,Service will be staffed by NHS medical staff,,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,5,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Harley Street Clinic (HCA UK),Routine,Non-Cancer,Complex,Elective,320: Cardiology,,Service will be staffed by NHS medical staff,,,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,5,W1G 8BJ,51.52036,-0.14819,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Cancer,Complex,Elective,330: Dermatology,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),RFL Skin cancer,ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,5,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The Wellington Hospital (HCA UK),Routine,Cancer,Complex,Elective,302: Endocrinology,,Service will be staffed by NHS medical staff,Part of the NCL Cancer Hub programme (hosted by UCLH),RFL Endocrine (thyroid),ROYAL FREE LONDON NHS FOUNDATION TRUST,02/11/2020,2,NW8 9LE,51.53155,-0.17147,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,The London Clinic (The London Clinic),Routine,Non-Cancer,Complex,Elective,150: Neurosurgery,,Service will be staffed by NHS medical staff,,,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,02/11/2020,4,W1G 6BW,51.52302,-0.15008,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Hendon (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,Unk: Unknown,,,,,,02/11/2020,0,NW4 1RP,51.59368,-0.22452,13
Plan,London,North_London_Partners_In_Health_and_Care_STP,Hendon (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,Unk: Unknown,,,,,,02/11/2020,0,NW4 1RP,51.59368,-0.22452,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Non-Cancer,Routine,Elective,100: General surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,6,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Cancer,Complex,Diagnostics,301: Gastroenterology,ENDOSCOPY - UPPER GI,Service will be staffed by NHS medical staff,,Unsure if Upper/Lower GI/Bronch.,BARTS HEALTH NHS TRUST,02/11/2020,8,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Cancer,Combination,Elective,101: Urology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,5,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Cancer,Routine,Diagnostics,101: Urology,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be staffed by NHS medical staff,,Urology Diagnostics,BARTS HEALTH NHS TRUST,02/11/2020,26,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Non-Cancer,Combination,Elective,191: Pain management,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,20,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Cancer,Combination,Elective,101: Urology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,2,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Non-Cancer,Routine,Elective,100: General surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,14,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Non-Cancer,Routine,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,6,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Cancer,Complex,Elective,103: Breast surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,0,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,The Holly Private (Aspen Healthcare),Urgent,Non-Cancer,Routine,Diagnostics,812: Diagnostic imaging,MAGNETIC RESONANCE IMAGING (MRI),Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,0,IG9 5HX,51.62451,0.03201,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Cancer,Combination,Diagnostics,502: Gynaecology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,10,IG4 5PZ,51.58715,0.04306,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Non-Cancer,Routine,Elective,191: Pain management,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,20,IG4 5PZ,51.58715,0.04306,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Cancer,Complex,Diagnostics,301: Gastroenterology,ENDOSCOPY - UPPER GI,Service will be staffed by NHS medical staff,,Unsure if Upper/Lower GI/Bronch.,BARTS HEALTH NHS TRUST,02/11/2020,8,IG4 5PZ,51.58715,0.04306,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London East (Spire Healthcare),Urgent,Non-Cancer,Routine,Elective,100: General surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,6,IG4 5PZ,51.58715,0.04306,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Cancer,Combination,Elective,104: Colorectal surgery,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,4,E1 4NL,51.52037,-0.0467,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Non-Cancer,Combination,Elective,502: Gynaecology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,4,E1 4NL,51.52037,-0.0467,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Non-Cancer,Combination,Elective,110: Trauma & orthopaedics,,Service will be staffed by NHS medical staff,,Spinal,BARTS HEALTH NHS TRUST,02/11/2020,4,E1 4NL,51.52037,-0.0467,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Non-Cancer,Combination,Elective,191: Pain management,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,0,E1 4NL,51.52037,-0.0467,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Non-Cancer,Routine,Elective,361: Nephrology,,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,0,E1 4NL,51.52037,-0.0467,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Cancer,Combination,Diagnostics,101: Urology,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be staffed by NHS medical staff,,Urology Diagnostics,BARTS HEALTH NHS TRUST,02/11/2020,20,E1 4NL,51.52037,-0.0467,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Routine,Non-Cancer,Routine,Diagnostics,320: Cardiology,"OTHER - PLEASE SPECIFY WITHIN ""FURTHER DETAIL"" COLUMN",Service will be staffed by NHS medical staff,,Electrophysiology,BARTS HEALTH NHS TRUST,02/11/2020,5,E1 4NL,51.52037,-0.0467,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Routine,Non-Cancer,Routine,Elective,320: Cardiology,,Service will be staffed by NHS medical staff,,Intervention,BARTS HEALTH NHS TRUST,02/11/2020,0,E1 4NL,51.52037,-0.0467,13
Plan,London,East_London_Health_and_Care_Partnership_STP,London Independent (BMI Healthcare),Urgent,Cancer,Complex,Diagnostics,812: Diagnostic imaging,ULTRASOUND,Service will be staffed by NHS medical staff,,,BARTS HEALTH NHS TRUST,02/11/2020,80,E1 4NL,51.52037,-0.0467,13
